gx,gy,gz,ax,ay,az
11.7,5.9,339.4,3.2,18.6,-64
9,5.3,336.2,1.4,12.4,-8.4
6.7,4.5,334.8,12.4,8.2,40.4
7.5,4.7,334.6,-6,-7.6,-10.8
6.2,4.9,336.4,-4,8.6,-13.6
3.2,4.1,338.6,-0.6,-31.8,-3.2
7.7,5.2,338.5,2.8,-1.2,7.4
6.8,4.1,338.5,0,10.8,1
5.7,2.1,338.8,1.4,3.6,-25.8
8.7,4.3,337.3,2.2,40.8,-19.8
7.4,1.8,335.5,13.8,-5.2,29.6
7,3.9,334.6,-6.2,-3.2,24.6
7.7,3.5,333.2,5.6,-8,18.2
7.9,4,332.5,-1.4,5.2,-2.2
8.8,3.1,331.7,10.4,13,-2.6
8.5,3.1,331,-3.6,1.4,-30
7.7,0.9,330.5,-2.8,0.2,31.2
5.7,0.9,331.8,3.4,12.8,-0.8
6.3,-2.6,332.5,7.6,12.6,16.8
11.6,-1.4,333.3,-20.4,-15.8,-65.6
5.5,1.1,332.8,7,10.2,2
7.5,0.5,337.8,5.4,-23.8,46.8
9.4,3.4,336,-8.2,1.6,-74
1.9,2.9,332.6,12.6,-11.6,32
-0.7,1.1,334.1,0.8,39.8,51.4
0.1,1.1,332.7,1.8,0.2,-34
2.5,1.2,334.5,-1.2,12,-44.8
4.7,-1.8,334.3,-5.4,40.8,-58
4.1,-3.1,334.2,0.2,-14.2,-40
-1.1,-2.4,334.9,-2.6,-0.2,18.6
-2.1,-2,335.7,4,6.6,43.4
2.8,-2.1,336.1,1.2,21.8,-7
2.5,-1.4,338.2,-8,6.8,-22.4
4.3,0.1,338.6,-6.2,8.8,17.2
5.3,0.2,336.4,4.2,16.4,1
8,-0.3,338.4,9.8,9.8,25.4
9.4,-1.4,338.5,-0.6,3.2,-20.6
7.7,2.7,336.2,-3,-5.6,8.4
8.1,3,336.9,2.6,0.8,-17.6
9.6,4,335.9,-6.4,0.2,-27.6
11.5,5.3,332.8,-7.2,-0.2,-20
9.4,2.6,338.4,11.2,10,-2
7.4,4.1,336.3,-6.6,4.4,-14.2
9.7,3.8,334.1,8.4,5.8,-7.4
9.7,-1.6,335.8,15.8,0,15.8
6.9,1.7,332.8,-8.6,19.8,2.2
6.9,2.9,331.4,0.8,16.8,-3.8
8.6,5.1,330.4,-4.2,24.8,24.8
11.5,6.2,328.1,1.4,4.4,4.6
9.9,2.7,329.4,-0.8,-10.6,-26.6
12.1,-0.7,331.8,3.2,9.6,-19.6
11.8,-3.5,333.4,-1.6,9.4,-13.2
10.5,-1.9,333.2,1.2,-12.2,-8.8
10.4,-1.6,332.7,-2,5.4,-21.2
10.2,1.2,332.7,3.8,13.8,29.2
10.6,2.8,333.5,1.4,3.4,-0.4
7.7,3.2,331.9,-0.2,10.8,-7.4
7.5,1.6,332,-4.2,-7.6,-2.4
12.2,-1.2,331.1,11,10.8,-15
8.6,-4.6,333.9,4.6,9,-8.6
7.3,-1.8,333.6,-1.4,12.2,4.2
7.4,1.3,334.8,-5.6,22.2,9.2
10.3,7.1,332.9,-6.6,26.2,-15.2
10.8,7.4,332.3,-3.4,-9.6,-11.2
11.7,4,334.6,1.8,7,-5
10.6,3.5,333.5,-1.8,-10.2,7.4
9.6,3.9,332.1,-4,3,-0.6
7.7,3.7,332.4,-2.8,-22.8,39
2.6,3.3,332.8,-13.6,-20,73
8.9,4.5,331.3,2.2,18,-41.6
4.2,3.8,330.3,5.2,-12.8,25.6
6.6,2.9,329,5.4,1,4
4,0.1,329.5,-10,-13.4,-41
6.5,1.6,331,-3.8,1.4,30.2
6.1,-2,331.9,7.4,17.2,43.6
3,-1,332.4,-6,-29.8,31.8
6.4,0.6,333.2,-2.4,41,-18.8
6.3,0.1,332.9,4.4,-6.2,2.8
0.3,1.1,332.8,7,34.6,27.8
5.2,1.1,333,-0.2,15.8,-23.2
1.8,0.2,333.5,-1,3,43.6
7.3,2.9,334.4,3.6,35.2,2.8
7.3,2.5,333.5,-4.4,-1,-81.8
0.8,2.9,333.6,-2.8,-53,0.2
4.5,2.7,332.4,-1,-16.8,47.4
3.6,1.1,331.4,2.4,-2.6,-1
5.1,0.6,331,4.8,16.6,-14.2
4.7,0.4,330.8,-2.6,5.6,-16.2
3.8,0.6,331.5,-4,11.2,-17
5,0.1,331.5,3.8,24.6,20.2
4.1,-0.1,331.9,-5.2,-5,5.6
4.9,0.1,332.8,-6.2,1.4,-49.4
-1.2,-3.7,332.7,14.2,-3.4,77.8
2.2,-2.4,332.5,8,-3.2,-29.2
-0.4,-0.8,332.6,1.6,1.8,7.8
1.3,0.2,332.8,-1.4,17.6,-13.6
3.6,0.6,332.2,0,-4,-5.8
3,0.1,332.2,-3.2,-1.4,23.2
4.1,-0.3,332.7,-6.6,-9.2,9.6
5.5,-1.2,333.6,-1.4,-5.8,30.2
7,-0.3,334.1,-2.2,5.2,-29
6.3,0,334.8,-1.8,-7.6,1.6
8.2,0.6,334.7,-0.4,10.2,-26
9.9,1,334.9,-0.4,-4.8,-13.8
8.5,0.7,334.9,-2,2,-8.4
9.4,0.2,334.6,5,8,-8.8
9.1,0.9,334.6,-1.6,12.6,-10.6
10,0.7,335,2.6,8.8,13.4
8.7,0.9,335.3,0.2,20.8,3.8
13.6,2.6,335.1,-4,9.2,-6.6
12.3,2.7,335.3,10.2,-21.2,19.4
12.7,3.5,335.2,-2.8,6.2,-46
10.1,2.5,334.8,3.6,-5,-4.8
13.4,0.8,334.9,8.6,23,4.4
10.7,0.6,334.6,1.4,4,24.2
11.8,3.2,334.8,-6.8,4.2,5.8
11.7,2.4,333.7,-3.4,-11.8,8.2
9.8,2.5,332.4,-0.6,4.6,-5.6
12.4,2.7,332.2,2.2,28.6,-25.4
15.6,2.5,332.7,7.4,-10.4,32.6
17,2.3,333.2,-7.4,-18.6,-44.2
14.8,2.1,333.4,-4.4,-14.8,-8.8
10.3,1.4,334,0.2,-4.8,11.2
11.8,1.4,334,-4.6,-12.6,-34.6
9.5,1.7,333.5,0.8,-14.8,18.8
8.6,1.9,333,3,5,-1
9,1.3,332.7,-1.8,-26.8,33
8.5,1.8,332.5,0.4,-13,10.2
8.9,0.1,331.6,15.4,-26.8,46.4
7.5,-1,331.3,-1.6,-8,-27.2
6.4,0,330.8,-7.8,8.8,21
7.3,-0.1,332.4,-2.4,5.6,-24.2
10.4,0.4,334.2,-6,20.6,-6.4
9.5,0.2,336.2,-1.2,25,-14.2
10.9,1.3,336.6,3.8,5.4,-29.2
7.7,1.2,333.7,3.4,-11.6,23.4
6.5,1.4,329.9,-6.2,-10.2,16.2
4.8,0.3,330.2,-8.6,-20.2,27.6
6.1,-1.7,332.3,-1,15.2,-13.4
6,-3.1,334,-8.2,-6.6,-18.2
5.7,-3.9,336,-4.4,1.8,-11.4
5.8,-3.1,339.5,1.8,-2.8,6.4
6.4,-2.7,342.7,-2.2,-2.2,-22.2
4.9,-0.2,344.6,5.8,-11,3.2
6.7,0.8,344.6,5.4,-2.8,-3.4
4.5,2,341.8,-3.2,9,-36.8
6,3,340.1,3.2,-5.4,5.6
4.8,6.1,337.6,-4.4,-16.8,-22.6
7.6,6.8,336.4,-2,10.6,-17.8
5.2,4.7,336.1,2,13.6,10.4
5.1,4.4,336.4,-5.8,-22.2,-24.6
7.4,4.4,336.2,1,30,-8.8
8.4,1.7,335.7,2.4,1.4,-3.6
9.1,0.7,335.7,-3.8,11,-46.6
5.4,0.1,336.7,3.8,-20,29.6
5.1,-0.4,337.5,0.6,5.2,4.2
5.9,1.2,337.3,-0.4,-6.4,25.4
4.8,0.1,337.8,2,6.6,4.6
6.8,0.5,337.7,-0.6,14.8,1.6
4.2,-0.5,337.4,1.6,-8,3.8
2.6,-2.3,337.7,5.2,-1,16.6
5.9,-2.7,338.2,-5.6,61.8,33.6
8.5,-1.3,337.9,3.2,6.8,10.6
9.3,0,337.9,-4.6,6.2,-22
7.1,0.6,338.1,-4.8,6.2,11.4
7.1,1.8,337.6,0.4,-3.4,-9.8
7.5,2.6,337.6,2.8,-13.8,-12.8
6.4,1.2,337.7,-3.2,-6.4,0.2
9.2,3.5,338.4,-10.8,39,-22.2
6.7,1.3,337.9,-0.2,-10,42.8
8.4,3.1,338,0.6,14.4,-7.2
5.4,3.4,337.6,-1.6,0.2,-19
7.5,3.2,336.9,0.2,-2.2,-7.6
9.2,2.7,336.2,-1,14,-11.4
11.3,2.2,334.9,2.8,-12,43
13.1,2.1,334.5,1,8.8,-3.4
13.1,0.3,335.7,2.4,-9.8,18.4
10.7,0.7,336.3,0.6,0.4,14.2
10.3,0.3,336.5,2,-6.4,12.2
9.3,-0.9,336.4,6.8,-12.2,29.8
8.2,-0.2,336.5,-0.4,-13.2,16.6
8.8,-0.3,336.7,-0.6,-10,19.8
8.7,-0.6,337.4,-0.4,5.6,-1.6
10.1,0.1,337.4,1,-12.6,6.4
10.1,0,337.7,2,-9.2,-2
11.1,-0.2,337.1,-4.6,-16.8,-18.8
9.4,-1.4,337.6,0.2,-1,25.4
10,-1.6,338.9,-4.4,-7,-23
6.5,0.7,340,0.8,-17.6,-12.6
7.8,0.8,340.6,0.6,14.8,17.4
9.2,1.2,340,-1.4,-9.8,-11.6
8.4,1.9,339.2,1.8,1.4,-25.2
7.3,2.3,338.3,-6.8,-7.6,26
7.9,2.3,338,2.8,26.6,-6.8
8.6,1.4,338.3,2.4,9.4,12.4
7.4,1,338.7,2.6,-16.2,24.2
8.7,1.4,338.8,-1.2,0,-11.8
7.4,0.8,339,3.8,6.8,-3.8
6.7,2.3,339,-3.8,-6.8,8.2
7.6,1.7,338.5,-0.4,1.6,-22.4
6.8,1.9,337.9,0.8,11.8,-38.2
5.6,1.5,337.6,2.2,-3.6,34.8
8.2,1,338.4,-2,-7,-13.8
8.1,0.8,339,-2,-2.2,5.2
7.9,0.9,339.2,1.4,-4,17.6
8.2,1.3,338.8,-3.6,-11.8,1
10.5,1.6,338.4,3,1.2,1.2
12.5,0.4,338,0.2,-14.6,17
12.1,0.2,337.7,-0.6,2,-2.6
10,-0.5,338.3,1.2,-0.6,-4.8
10.9,-0.6,338.7,2.2,3,-12.6
8.4,-1,339.2,-0.8,-9.8,19.6
8.8,-0.3,339,3.4,8.8,11
8.6,-1.2,339.6,-1,4.4,30.4
7.8,-1.8,340.3,1.6,1.2,-7.2
9.4,-1.1,340.5,-5.4,-1,5.2
6.8,-0.2,342.1,-0.2,7,-19.6
7.4,1.8,341.7,-2.8,0.2,-1.2
8.3,2.6,341.3,0.8,2.2,-17.8
5.2,1.9,341.3,6.4,0.6,0.6
8.5,2,341.2,3.2,-9.2,9.8
8.6,0.5,341.1,6.4,-3.2,12.8
8.4,1.7,340.6,-1.2,-17.6,-19.2
8.9,1.6,340.8,-3.2,11.6,-5.8
12,1.5,340.4,2.8,17.2,12.2
11.3,1.6,340.3,-3.4,9.6,-2.8
11.9,0.8,340.3,3.2,8.4,-10.2
9.7,-0.3,340.1,0.8,-13.6,15.4
8.7,0.2,340.1,-1.4,17,-13.2
10,0.3,340.3,4.8,13.2,-13.4
9.8,1.2,340.3,-1,12.6,-23
9.9,2,339.7,-2.2,15,-3.6
9.9,2.8,339.5,2.6,-2.4,16.8
9.9,2.7,339.2,4.6,-6.8,31
9.9,2.1,338.1,-1.6,12.8,-14
9.4,2.6,338.4,-3.6,8.4,3.8
7,1.5,337.5,-5.2,-29.4,-7.8
4.8,1.6,337.4,-0.8,-0.4,13.6
5.3,1,336.9,1.4,-0.2,0.4
4.2,0.2,337.5,-2.4,4.8,2
3.6,0,338.4,-5.2,7.2,-18.2
5.1,0.1,338.2,-4.8,-26,35.6
6.1,-2.3,337.6,1,51.4,10
6.7,-1.2,338,-2.8,4.2,-16.8
7.9,-1.5,339,-6.2,-12.6,-28
8.5,-3.2,341.4,-2,0.6,5.2
7.8,-3.1,342.5,-4.2,-17.4,15.2
9.5,-1.8,344.1,-1.4,21.4,-14.4
9.1,-0.9,344.8,-1.8,-8.8,0.6
7.6,0,345.4,0.2,0.6,-18.6
8,0.3,345.9,-0.4,-5.2,-15.6
6.4,1.9,345.9,3.2,8.8,29.6
8.5,3.5,345.1,-3,-2.4,-30.6
7,3.8,344.7,-0.6,-1,-16.6
7.1,3.5,345.7,2.6,17.4,-0.6
5.7,3.5,345.6,0.4,6.2,-22
8.1,4.2,345.6,3.4,19.6,29.8
9.6,4.3,345.7,-1.8,-10.8,7.2
8.3,3.9,344.5,6,-17,2.6
7,3.8,343.9,2.6,3.8,-19.2
6.8,3.3,343.1,2.4,8.2,-14.8
7.7,4,342.6,-2.2,-7.6,-7.8
6.4,4.1,342.2,2.6,1.4,20.2
5.5,1.2,341.1,-3.2,20.4,-2.8
8.3,1.2,341,-0.4,0.4,7.6
4.8,0.7,341.2,0,1,-16.6
5.7,0.5,341.6,6.2,-4.2,14.4
7.7,0.3,341.8,0.2,8.8,-16.8
5.3,-1.2,341.6,0.6,-12.4,-3.2
6.6,0.4,342.3,5.2,12.8,-27.8
7.6,-1.6,342,3.4,-8.2,-7.8
6.9,-0.8,341.9,-4.2,-5,-11.8
9.2,-1.3,342.4,0.6,4.4,-4.6
8.8,0.3,342.3,-2,-7.2,2.4
11.1,0.1,342.3,-1.2,2.6,5
11.6,0.8,341.4,-3.6,-4,-7.8
9.2,0.4,342,-2,-8,-15
7.8,0.2,341.6,0.6,-8,9.2
10.6,-0.3,341.7,-1.2,1.4,-30.6
9.2,1.6,342.4,-5.4,0.6,-8.8
9.2,0.9,343.4,-1.6,-15.8,-37.6
10.4,0.7,343.4,-1.2,4,-2
6.3,0.1,343,2.8,-2.6,37.6
8.7,0.9,342.5,-1,5.2,-28.8
8.9,1.1,342,4.6,25,-27
10.4,0.1,341.8,0.8,0.2,-12.4
7.4,-0.7,341.4,2.6,2.8,33.4
7.5,-0.2,342.4,0.6,-2.4,-15.8
5.6,0.9,341.7,0.6,4.6,0.2
11.4,1,341.6,-8,11.4,-88.8
4.9,-0.5,341.8,1.8,-14,26.2
6.3,-0.5,342,-2.4,8.2,0.2
7.9,-1.1,342.1,2.2,4.2,-23.4
5.3,-0.8,341.8,-5,-16.2,7.4
5.4,1.1,342.2,2,11.2,1
7.5,1.1,342.9,-1.6,16.8,-30.2
7,1.1,342.6,4.6,0,14.6
8.1,1.7,342,0.6,2.6,-5.2
8.3,2,340.6,-5.2,-10.4,-7.4
6.8,1.1,341.4,4.6,7.6,-4.4
6.1,0.9,341.8,-5.8,-1.6,-9.4
3.4,1.2,342.1,3.4,19.8,55.2
4.3,1.9,341.4,-1.8,0,46.2
7.1,2.4,340.9,1.8,1.6,-18.2
4.2,2.2,341.5,2.8,3.4,35
6.8,0.9,340.4,3.8,35.8,-23
8.3,0.3,340.7,3.8,11.2,2.4
11.3,1,340.4,-2.4,-1.8,-10.4
10.2,1.2,340.9,-2.4,-12,-11
11.2,1,341.7,-1.4,28.2,3
7.3,0.2,342.3,2.8,-30.8,26
12.8,0.1,342.5,-2.8,-18,-19.4
10.2,-0.9,341.6,-3.6,-2.2,12.8
9.1,-0.6,342.1,6.2,13.4,-5.6
9.1,-0.5,342.4,0.2,-7.4,8.4
9.6,0.1,342.7,1.2,6.8,14.2
8.9,0.5,343.2,-6.8,-15.2,-19.2
9.1,0.8,343.6,-0.8,-4,-34.6
8.4,-0.4,344.3,0.4,-15,3.4
8.7,1.7,343.4,-4.6,-14.4,-37
8.3,2.1,343,-1.4,6,-11.8
9.3,0.6,342.5,-6.8,-4,26.6
8.2,1.1,342.5,5.4,21,10.6
6,2,342.8,0,-16,-5.6
5.7,2.1,342.6,-3.8,5.2,-7.2
6.6,1.9,343.2,-1.2,-17.6,-10.6
6,1.2,343.1,4.6,7.4,-2.4
5.4,0.7,342.7,4.8,-9.8,29
6.7,0.5,343.9,2.6,-7,13.8
8.1,0.7,343.7,2.4,0.2,1.8
8.6,0.7,344.3,3.4,2.2,-3.6
8.8,3,344.9,2.2,5.6,-4.8
9.5,3.1,344.8,6.2,7.2,1.4
6.7,2.1,343.4,1.2,-3.2,-3
7.1,1.2,341.3,2,-12.2,38.4
8.8,1.1,340.7,4.4,9,-9.4
8.1,0.1,340.3,10.6,5.4,50.6
12.1,-0.5,341.4,-0.6,0.4,-30.4
14.3,0.7,341.2,2.2,-9.6,-31.4
7.9,-0.5,341.5,2.6,23.6,3.8
7.9,0.2,340.3,-10.4,-37.6,21.4
9.3,1.2,339.8,-0.8,-9.8,-20.8
9.5,1.1,340,1,-14.4,-4.2
7.6,2.2,339.8,-1.4,-2.8,-11
4.8,1.6,339.2,4.2,-3,-1.4
5.7,1.2,338.5,2.4,-13.8,14.6
8.9,0.2,338.1,-4.4,10,-38.4
8.7,-0.7,338.6,-2.2,23.8,-16.4
6.5,-1.9,339.5,-1.8,13.6,19
8.4,-1.3,340.6,-1.2,-32.2,-3.4
7.4,0.2,339.8,-2.4,-22,18.8
7.3,-0.3,340,4.4,4.8,16
7.1,-0.3,340.4,-6,1.8,-16.2
7.3,-1.1,341.4,-7.8,-10.2,-7.4
7.2,-1.9,342.6,0,-17,20.8
8.6,-2.6,344.1,-3.4,-0.8,-2.2
8.3,-2.8,345.1,2,0,7.4
7.6,-1.8,345.4,0.6,-6.8,-12.6
7.3,-0.5,345.1,3.8,-0.2,-9.4
8,-0.3,345.3,5.2,9.8,12
7.8,0.1,345.6,4.6,2.8,-6.8
7.7,-0.1,346.4,4.2,9.2,0.4
7.4,0.2,346.5,-0.6,10.2,16.4
8.8,0.7,346.9,2.6,1.6,21.8
8.1,1.4,347.2,0.4,-2.2,-14.8
7,1.3,347.5,3.2,-5,-11.8
8.6,2.6,347.2,0.4,2,-5.8
4.9,3.1,347.6,2.6,2.8,23.4
5.7,3.8,346,-1,-13.6,-4.8
6.5,3.7,345.5,2,11.8,-2
6.6,2.7,344.8,-2.8,-5.4,-3.6
8.8,2.7,344.7,-1.6,1.8,-20.4
8.2,2.4,345.3,-0.8,10,-14.8
7.4,2,345.1,0.2,-7.8,-1.6
8.5,2.9,344.4,-3.2,4.6,-5.2
8.1,2.4,344.8,-1.2,-12,-4.6
7.4,1.6,345.1,0.8,-5.4,15.6
6.6,1.5,343.6,7.6,19.4,3.4
7.5,2.2,343.1,2.8,-58,62.4
6.1,1.8,342.8,5.4,-20.2,1.2
7.2,2.4,342.4,-0.8,4.6,3
7.5,1.6,342.9,3,8,4
9.1,2.4,342.9,0.2,9.6,-19.4
8.6,1.7,342.9,0.4,12.2,12.6
8,0.8,343.1,6,15,-8.8
5.3,0.6,343,-6,-18.6,-15.2
6.7,0.5,342.5,-1.8,-2.8,7
7.4,0.5,343.4,-4.8,12.2,2
7.2,1.9,344,-3.6,7.2,-0.4
7.3,1.6,344.2,4.4,-11,12
5.6,1.4,344,-0.4,-1,0
6,2.4,343.3,3,1.4,1.8
9,1.6,343.2,8.6,8.4,7
8.4,1.5,342.6,1.4,1.6,-3.4
6.6,1.5,341.9,-1.8,-6,8.8
9,2.1,342,0.4,15.8,-6.8
11.4,2.5,341.3,-4,-2.8,8.6
11.4,2.4,341.2,-2.2,-11.8,4.2
10.7,1.9,340.6,0.2,-7.8,-10.6
8.6,0.2,340.7,0.4,2.6,14.2
9,0.2,340.9,2.6,11.8,10.4
9.1,-0.7,341.5,-3.4,9.6,2.4
9.7,-0.6,343,5.6,11.4,-4.8
8.6,0.9,343.4,-3.6,9,11.6
9.6,1.4,343.7,-1,-4.2,0
7.9,1.2,342.8,6.4,-1.6,12
9.3,0.9,341.9,-1,-3.4,-23.2
8.5,0.8,341,-2,-1,19.4
8.2,0.3,341.7,0,-8,6.6
7.4,-0.1,342.4,7,-15.6,33.6
9.3,0.8,342.6,-4.2,0.8,-16.8
7.9,0.4,342.4,2.8,3.2,13
8.9,1.3,342,-2,23,-31
9.5,1.3,341.4,-2.4,-6.2,-10
9.8,0.6,341.7,1.2,2,10.8
6.9,0.6,341.1,1.2,4.8,-3
5.7,-0.1,340.9,3,5.2,6.4
7.3,-0.1,341.9,-6,16.8,21.4
8.9,0.5,342.9,-2.4,-16.4,-25.6
8.2,-0.7,343.3,-1,-8.4,-3.2
9.2,-0.7,342.2,0.6,13.2,-15.8
9.9,-0.7,343,-1.2,-12.4,6.2
8.7,-1.2,343.6,1.2,-13,16
8.8,-0.8,344.3,-2.2,8.2,9
10,-0.6,345.1,2.2,-16.6,-4.2
8.4,0.1,345.6,3.4,1,22.8
12.3,1.7,344.8,8.2,12.6,-25.2
10.8,1.9,343.2,3.2,22.8,-23.2
11.6,1.9,342.6,-0.6,9.2,-1
10.6,0.2,343,1.4,5.8,-7.2
9.7,0,343.8,-0.4,1.8,-20
9.7,0.6,344.4,-3,-5,5.2
9.7,1.8,344.6,-7,9.4,0.2
12.1,2.1,344.9,2.8,8.4,-44
7.2,2.1,344.8,-4,-16,-33
6.8,1.6,344.7,3.2,23.2,0.4
7.1,2,344.6,-4.6,-14.8,-34
2.5,1.8,344.2,-4.2,-23,78.8
10.5,0.8,345.1,0.6,-23.6,9
8.8,2.8,344.6,1.2,-3.2,-30.4
7.6,2.5,343.4,-0.8,-5.2,-1.2
6.9,1.6,343.5,-1.2,4.4,-9.8
7.1,1.3,343.1,3.2,5,8.2
8,0.2,342.2,-0.2,-19.4,18.6
9.2,0.1,341.9,1.4,-4.2,-3
8.4,-1,342.2,2,9.8,1
8.8,-1.1,343.1,5.6,-10.6,19.6
8.5,0.7,344,-7,-14.6,22
8.2,-0.7,345,6.8,-17.8,-12.4
11,-0.8,344.8,5,3.4,-21.4
13.3,0.1,345.6,-5,0.2,-35.2
11,-0.7,345.5,1.4,10,4
9.3,-0.1,346.4,2.6,1.6,-13.4
11.9,2.2,346,2.4,-16,12
9.3,2.4,343.9,-1.6,-38,-36.2
7.4,1.9,343.2,4.2,0,55.6
11.3,1.9,343.9,0,-27.6,57.4
9.1,0.8,344.8,2.8,-3,5.8
9.1,0.4,345,0,-2,-21.2
8.3,-1.1,345.3,1.6,-7,23.6
9.1,0,346.7,-1.4,-9.8,-17
9.5,-0.5,347.1,1.8,-7.4,-3.4
8.6,-0.3,347,8.2,9.4,-11.8
10.2,2.5,345.3,2.6,-18.2,34.4
11.4,1.5,344.8,-3.8,-27.2,-66
8.9,1,343.5,9.4,-2,11.4
11,3.1,341.9,-2.2,-1,-11
7.1,1.8,341.4,3.2,14.6,17.6
6.7,1.3,341,-3,8,5.8
7,1.2,341.4,1.6,-6.6,-3.8
6.6,0.1,341.2,-1.2,-9.4,2.6
5.2,0,341.5,-4.6,-2,-27.8
6.1,-0.2,341.6,-0.2,-9,-5.4
6,-0.6,342.3,0.2,-1,-17
5.3,-1.7,342,1.4,0.2,-26.4
12.2,-1,341.7,1,-11,-41.4
5.5,-5,341.8,-6,-6.2,-0.4
3.5,-3.5,345.2,-1.6,-10,19.4
3.2,-1.5,346.9,-13,-4.6,-15
8.7,-0.8,346.7,-3.2,5.6,-18.6
5.3,-0.5,347.3,4.8,-30.8,-16
2.7,1.1,345.9,-5.4,-62.8,10.8
0.1,-2.2,345.5,-1.4,-5.8,83.4
1.5,4.6,347.3,-29.4,-13.2,90.8
3,4.5,344.9,19,6,55.4
1.5,4.3,344.6,-1.4,6.2,6.6
0.2,4,345.3,2.2,-1.2,12.8
2.2,3.5,344.4,2.6,-3.6,-5.6
2.5,2.1,344.7,-1.4,-8,0.8
5.6,1.8,344.1,0.2,-1.8,-12
7.1,0.8,344.1,5.2,0.4,23.2
6.8,0.7,344.5,4.8,0.2,3.4
6.5,0.3,343.7,1.4,17.2,3.2
8.6,1.9,343.7,-1.6,6.4,-23.2
8.1,2.4,344.1,-0.2,5.8,10.4
8.2,1.5,345.4,-0.4,2.2,7
8.1,2.6,344.6,-2.2,-8.6,-16.4
8.4,2.2,344,1.8,5.8,-10.2
7.6,1.3,343.9,3.2,1.2,-7.6
8,0.6,343.4,-1.6,-14.8,-50.2
6.4,0.6,344,-2.8,-3,4.8
5.8,-0.3,344.5,0,-1.6,9
5.7,-0.9,345.2,-6.4,-21.6,21.8
10.1,-0.1,344.7,-1.4,-23,-36.4
8.4,-1.7,344.1,-0.8,-36.8,-10
8.4,-1.1,344.5,1.8,-11.4,12.2
8.4,-0.7,345,0.6,-17,24.2
8.6,-0.6,345,0.6,-1.2,-3.2
9.7,0.1,345,-4.4,-3.4,-7.8
9,0.5,345.5,-1.8,0.8,-6.8
7.1,0.8,345.2,2,1.8,1.2
8.3,0.8,345.2,-1.8,-3.8,-13.4
9.5,0.1,345.5,-2.4,-9.8,9.4
10.2,0.4,345.6,-7.2,-13,14.8
11.1,-0.2,346.2,3.6,-4.4,1.8
10,0.2,345.9,-1.2,11.2,3.2
9.1,0.2,345.8,-1.4,6.6,-8
10.4,1.4,345.2,1.6,13.4,5.8
11.1,2.7,344.8,0.4,-9.8,10.4
8.5,2.6,344.2,-2.2,-4.8,26
11.9,1.6,343.6,3.4,-3.6,8.8
12.1,0.3,344.1,2,2.6,27.2
13.9,1.5,343.4,3.4,22.6,-25.8
11.7,-0.4,344,1.2,12,-17.2
13,0,343.7,-4.6,-32.8,20
10.8,0.9,343.5,-1.4,-16.2,-6.4
9.9,1.6,343.7,-2.6,-6.8,-11.4
6.9,1.3,343.7,-1,-7.4,18.2
9,1,343.3,0.6,9.6,11
7,0.5,343.9,0.4,-4.4,-11.6
7.6,1.3,344.5,-1.4,-16,-13
7.2,1.2,344.9,4.6,2,7.4
6.2,1.9,343.9,1,10.8,-4.6
10.1,2.2,343.5,-0.8,9,9
8.1,1.9,343.4,4,-2.8,-6.4
7.5,1.8,342.8,-0.4,11.6,-20.6
9.2,1,342.2,1.2,-3.2,1
4.5,1.3,342.4,-3,-16.6,17.4
4.1,0.3,342.9,0.8,-11.6,21.2
5.7,-0.1,344.2,5.2,1,4
6.5,0.1,344.8,5,15,-1.4
7.7,0.2,344.1,-0.8,4.8,-32.2
7.2,0.9,344,-4.6,-26.6,-23
7.5,-0.4,344.4,-0.4,13.6,-32.6
9.2,0.3,344.4,2.4,7,-6.8
5.3,-0.1,345.9,-1.2,-5.4,32.4
7.6,0.2,347,-7,-4.6,-31.2
8.4,0.8,347.8,0.2,-1,16
5.6,2.1,347.2,1.6,-0.6,-5.2
6.6,1.9,346.9,0.2,9.6,14
6.5,1.5,346.3,0.2,-11.4,-4
6.5,1.3,345.2,6.8,3.8,-21.4
8.3,2,345.4,0.6,5.2,-16.8
4.7,1,345.3,0.8,-1.4,22.8
6.6,3.6,345.1,-3.4,0,-28.8
5.4,2.5,344.7,7.8,12.6,20.8
4.5,2.3,344,-5,2.8,0.8
5.7,2.1,343.6,-0.4,2,-22.4
2.7,1.7,343.2,2.6,21.6,15.6
2.9,1.7,342.4,0.6,-20.2,41.6
5.4,-0.1,342.3,-0.4,3.4,-46.4
1.6,-1,342.6,-4.4,-24.8,-14.2
8.7,-1.8,344.4,-6,-41.2,36.4
8.5,-1.9,344.9,-0.4,-5.4,-33.6
9,1.2,345.3,-1.6,10,-45.8
4.3,-0.1,346.5,9.8,21,35.8
5.6,-0.3,345.1,3.8,14.8,-39
3.9,-0.9,344.3,-0.6,6.4,19.6
8.2,-0.3,344.1,2.8,16.4,-27.4
9.5,-1.1,343.9,-4,-9.4,-2.8
7.9,-0.7,344.8,4,3.6,14.4
9.2,-1,344.1,4.2,7.8,4.4
11.2,-1.2,344.5,-2.8,5,-2.2
11.8,-1.3,344.8,-2.6,-65.4,26
6.2,-1.1,345,-0.6,-3.8,52
8.2,0.4,344.4,5.8,-13.2,10.2
7.3,-0.9,344.5,-2.4,-1.8,8
7.6,0.4,344.1,-2,4.6,8
7.8,1.2,344.8,-3.2,3,-18
11.9,0.5,344.6,2.6,6.2,19.8
11.5,1.1,344.6,-0.2,2.2,38.6
9.6,0.9,344.8,4,-6.2,44.6
